outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,32,2048,20,3.5209305
True,True,True,32,2048,32,2.7550325
True,True,True,32,2048,50,2.356997
True,True,True,32,2048,64,2.1031950000000004
True,True,True,32,2048,80,1.957824
True,True,True,32,2048,100,2.06913
True,True,True,32,2048,128,2.107381
True,True,True,32,2048,256,2.0575345
True,True,True,50,4,4,18.24250450000001
True,True,True,50,4,8,12.759302
True,True,True,50,4,16,6.7103845
True,True,True,50,4,20,4.344547
True,True,True,50,4,32,3.3158635000000003
True,True,True,50,4,50,3.0920505
True,True,True,50,4,64,2.8584545
True,True,True,50,4,80,2.769742
True,True,True,50,4,100,2.6289505
True,True,True,50,4,128,2.5621145
True,True,True,50,4,256,2.5186135
True,True,True,50,8,4,14.110532999999998
True,True,True,50,8,8,9.0417355
True,True,True,50,8,16,5.009903
True,True,True,50,8,20,3.5581115
True,True,True,50,8,32,2.60658
True,True,True,50,8,50,2.9966405
True,True,True,50,8,64,2.345589
True,True,True,50,8,80,2.3600105
True,True,True,50,8,100,2.411524
True,True,True,50,8,128,2.0847105
True,True,True,50,8,256,2.084327
True,True,True,50,16,4,12.473514000000002
True,True,True,50,16,8,7.366217999999999
True,True,True,50,16,16,4.136547
True,True,True,50,16,20,3.073221
True,True,True,50,16,32,2.4555925
True,True,True,50,16,50,2.2562735000000003
True,True,True,50,16,64,1.987692
True,True,True,50,16,80,1.9025695
True,True,True,50,16,100,1.8688595
True,True,True,50,16,128,1.8264165
True,True,True,50,16,256,1.757971
True,True,True,50,20,4,9.879351
True,True,True,50,20,8,5.3705
True,True,True,50,20,16,3.9872055
True,True,True,50,20,20,3.1505505
True,True,True,50,20,32,2.2251805
True,True,True,50,20,50,2.2175890000000003
True,True,True,50,20,64,1.970539
True,True,True,50,20,80,1.8324325
True,True,True,50,20,100,1.772836
True,True,True,50,20,128,1.7737850000000002
True,True,True,50,20,256,1.7188675
True,True,True,50,32,4,9.3707655
True,True,True,50,32,8,5.2902675000000015
True,True,True,50,32,16,3.7706575
True,True,True,50,32,20,2.970426
True,True,True,50,32,32,2.151251
True,True,True,50,32,50,2.190431
True,True,True,50,32,64,1.881407
True,True,True,50,32,80,1.856091
True,True,True,50,32,100,1.7075965
True,True,True,50,32,128,1.6680005
True,True,True,50,32,256,1.6874765
True,True,True,50,50,4,9.30271
True,True,True,50,50,8,5.059157
True,True,True,50,50,16,3.553781
True,True,True,50,50,20,2.9638560000000003
True,True,True,50,50,32,2.229304
True,True,True,50,50,50,1.898679
True,True,True,50,50,64,1.871045
True,True,True,50,50,80,1.826919
True,True,True,50,50,100,1.679825
True,True,True,50,50,128,1.6821215
True,True,True,50,50,256,1.7473330000000002
True,True,True,50,64,4,8.914531
True,True,True,50,64,8,4.8951075
True,True,True,50,64,16,3.51507
True,True,True,50,64,20,2.9151635
True,True,True,50,64,32,2.092959
True,True,True,50,64,50,1.9322585
True,True,True,50,64,64,1.844574
True,True,True,50,64,80,1.805727
True,True,True,50,64,100,1.667115
True,True,True,50,64,128,1.631687
True,True,True,50,64,256,1.680748
True,True,True,50,80,4,8.762147500000001
True,True,True,50,80,8,4.7543205
True,True,True,50,80,16,3.3169575
True,True,True,50,80,20,2.9080790000000003
True,True,True,50,80,32,2.063603
True,True,True,50,80,50,1.9609745
True,True,True,50,80,64,1.8541375
True,True,True,50,80,80,1.7108105
True,True,True,50,80,100,1.659463
True,True,True,50,80,128,1.659085
True,True,True,50,80,256,1.6097225000000002
True,True,True,50,100,4,8.9642535
True,True,True,50,100,8,4.7816615
True,True,True,50,100,16,3.3077985
True,True,True,50,100,20,2.8359535
True,True,True,50,100,32,2.2210875000000003
True,True,True,50,100,50,1.946198
True,True,True,50,100,64,1.8670255
True,True,True,50,100,80,1.7218915
True,True,True,50,100,100,1.663138
True,True,True,50,100,128,1.6677810000000002
